Date,Open,High,Low,Close,Adj Close,Volume
2-Nov-17,37.490002,37.5,36.990002,37.400002,37.400002,5350300
3-Nov-17,37.439999,37.549999,37.110001,37.5,37.5,5716900
6-Nov-17,37.380001,37.610001,37.299999,37.369999,37.369999,4361000
7-Nov-17,37.599998,37.599998,37.099998,37.41,37.41,5646000
8-Nov-17,37.299999,37.369999,36.939999,37.009998,37.009998,7095200
9-Nov-17,36.259998,36.360001,35.209999,35.689999,35.689999,17006900
10-Nov-17,35.509998,36.049999,35.34,35.970001,35.970001,8329700
13-Nov-17,35.700001,36.099998,35.32,35.849998,35.849998,7269000
14-Nov-17,35.709999,35.790001,35.18,35.220001,35.220001,11468000
15-Nov-17,35.029999,35.470001,34.790001,35.299999,35.299999,8120700
16-Nov-17,35.369999,35.82,35.32,35.619999,35.619999,8140200
17-Nov-17,35.639999,35.709999,35.310001,35.580002,35.580002,7542600
20-Nov-17,35.619999,35.970001,35.419998,35.529999,35.529999,5981700
21-Nov-17,35.720001,36.110001,35.560001,35.959999,35.959999,5888600
22-Nov-17,36.049999,36.200001,35.84,35.939999,35.939999,4576200
24-Nov-17,36.07,36.110001,35.700001,35.84,35.84,3122800
27-Nov-17,35.880001,36.200001,35.790001,35.990002,35.990002,7221700
28-Nov-17,35.990002,36.200001,35.419998,35.5,35.5,11335100
29-Nov-17,35.419998,35.450001,33.950001,34.380001,34.380001,22063000
30-Nov-17,34.48,35.189999,34.459999,34.669998,34.669998,16415200
1-Dec-17,34.380001,35.25,34.310001,35.200001,35.200001,11499100
