Date,Open,High,Low,Close,Adj Close,Volume
2017-11-02,11.900000,13.025000,11.600000,12.650000,12.650000,1272600
2017-11-03,12.500000,13.150000,12.400000,12.700000,12.700000,495500
2017-11-06,12.600000,13.025000,12.500000,12.850000,12.850000,475900
2017-11-07,12.750000,13.000000,12.350000,12.400000,12.400000,442200
2017-11-08,12.300000,12.400000,11.900000,12.050000,12.050000,410600
2017-11-09,12.050000,12.300000,11.875000,12.100000,12.100000,504800
2017-11-10,12.150000,12.300000,12.000000,12.150000,12.150000,260700
2017-11-13,12.200000,12.300000,12.050000,12.200000,12.200000,401300
2017-11-14,12.300000,12.700000,12.300000,12.700000,12.700000,461000
2017-11-15,12.600000,12.600000,12.350000,12.500000,12.500000,312900
2017-11-16,12.500000,12.850000,12.450000,12.750000,12.750000,612800
2017-11-17,12.750000,13.000000,12.750000,13.000000,13.000000,414000
2017-11-20,12.950000,13.075000,12.650000,12.950000,12.950000,470900
2017-11-21,12.950000,12.950000,12.525000,12.725000,12.725000,257300
2017-11-22,12.700000,12.950000,12.600000,12.700000,12.700000,190000
2017-11-24,12.650000,12.650000,12.250000,12.300000,12.300000,110700
2017-11-27,12.350000,12.450000,12.125000,12.150000,12.150000,262000
2017-11-28,12.250000,12.850000,12.250000,12.750000,12.750000,203400
2017-11-29,12.750000,13.500000,12.550000,13.450000,13.450000,411000
2017-11-30,13.500000,13.600000,13.250000,13.450000,13.450000,494500
2017-12-01,13.450000,13.525000,13.000000,13.475000,13.475000,534900
