Date,Open,High,Low,Close,Adj Close,Volume
2017-11-02,12.330000,12.430000,12.260000,12.420000,12.420000,40923400
2017-11-03,12.410000,12.460000,12.320000,12.360000,12.360000,33220300
2017-11-06,12.360000,12.430000,12.300000,12.330000,12.330000,20178500
2017-11-07,12.350000,12.380000,12.110000,12.160000,12.160000,41536300
2017-11-08,12.140000,12.160000,12.010000,12.060000,12.060000,34127500
2017-11-09,12.010000,12.050000,11.930000,12.040000,12.040000,26257300
2017-11-10,12.000000,12.090000,11.980000,12.010000,12.010000,35298400
2017-11-13,12.010000,12.220000,11.970000,12.160000,12.160000,30415900
2017-11-14,12.100000,12.160000,11.990000,12.020000,12.020000,25893400
2017-11-15,11.970000,12.030000,11.870000,12.000000,12.000000,28441300
2017-11-16,12.000000,12.050000,11.930000,12.040000,12.040000,28269000
2017-11-17,12.020000,12.060000,11.990000,12.010000,12.010000,31117700
2017-11-20,12.030000,12.150000,12.020000,12.130000,12.130000,32352000
2017-11-21,12.140000,12.230000,12.120000,12.120000,12.120000,28510300
2017-11-22,12.110000,12.150000,12.050000,12.070000,12.070000,36184000
2017-11-24,12.100000,12.150000,12.030000,12.100000,12.100000,9549600
2017-11-27,12.090000,12.190000,12.060000,12.110000,12.110000,28525200
2017-11-28,12.150000,12.240000,12.080000,12.210000,12.210000,33199300
2017-11-29,12.240000,12.570000,12.230000,12.560000,12.560000,64866000
2017-11-30,12.530000,12.650000,12.420000,12.520000,12.520000,49224200
2017-12-01,12.620000,12.700000,12.350000,12.580000,12.580000,52431700
