Date,Open,High,Low,Close,Adj Close,Volume
2017-11-02,54.369999,55.080002,54.060001,54.880001,54.880001,4803800
2017-11-03,54.599998,54.790001,54.340000,54.650002,54.650002,5218600
2017-11-06,54.540001,54.959999,54.310001,54.849998,54.849998,5501700
2017-11-07,54.799999,54.939999,53.380001,53.450001,53.450001,7539300
2017-11-08,53.340000,53.439999,52.630001,52.680000,52.680000,6242100
2017-11-09,52.410000,52.560001,51.779999,52.110001,52.110001,6012100
2017-11-10,52.220001,52.360001,51.580002,51.610001,51.610001,5514800
2017-11-13,51.439999,51.810001,51.139999,51.680000,51.680000,5844000
2017-11-14,51.380001,51.840000,51.330002,51.830002,51.830002,5472700
2017-11-15,51.410000,52.180000,51.349998,52.009998,52.009998,5389500
2017-11-16,52.180000,52.250000,51.779999,51.810001,51.810001,4449100
2017-11-17,51.580002,52.040001,51.520000,51.880001,51.880001,3297600
2017-11-20,52.029999,52.029999,51.740002,51.930000,51.930000,3273200
2017-11-21,52.150002,52.150002,51.639999,51.889999,51.889999,5194500
2017-11-22,51.869999,52.049999,51.840000,51.910000,51.910000,4513100
2017-11-24,52.000000,52.070000,51.700001,51.830002,51.830002,1466900
2017-11-27,51.900002,51.990002,51.689999,51.720001,51.720001,3727900
2017-11-28,51.759998,53.080002,51.700001,53.020000,53.020000,5608900
2017-11-29,53.380001,54.950001,53.369999,54.759998,54.759998,10938000
2017-11-30,55.080002,55.919998,54.790001,55.150002,55.150002,8662900
2017-12-01,55.230000,55.389999,53.700001,54.900002,54.900002,7239000
