Date,Open,High,Low,Close,Adj Close,Volume
2017-11-02,13.450000,14.250000,13.400000,14.100000,14.100000,267900
2017-11-03,14.050000,14.250000,13.800000,13.850000,13.850000,332900
2017-11-06,13.900000,14.100000,13.650000,13.950000,13.950000,243200
2017-11-07,13.850000,14.000000,13.350000,13.500000,13.500000,225000
2017-11-08,13.500000,13.650000,13.280000,13.450000,13.450000,136400
2017-11-09,13.350000,13.450000,13.150000,13.300000,13.300000,149600
2017-11-10,13.350000,13.550000,13.150000,13.150000,13.150000,106200
2017-11-13,13.150000,13.700000,13.150000,13.400000,13.400000,98700
2017-11-14,13.450000,13.750000,13.450000,13.650000,13.650000,164500
2017-11-15,13.600000,13.600000,13.250000,13.400000,13.400000,197100
2017-11-16,13.400000,13.650000,13.400000,13.500000,13.500000,138900
2017-11-17,13.400000,13.880000,13.350000,13.750000,13.750000,95900
2017-11-20,13.750000,13.900000,13.650000,13.800000,13.800000,122400
2017-11-21,13.850000,13.880000,13.730000,13.800000,13.800000,148800
2017-11-22,13.850000,13.980000,13.650000,13.700000,13.700000,137900
2017-11-24,13.800000,13.950000,13.700000,13.750000,13.750000,20100
2017-11-27,13.750000,13.800000,13.650000,13.700000,13.700000,79700
2017-11-28,13.750000,14.300000,13.750000,14.150000,14.150000,128000
2017-11-29,14.200000,15.000000,14.200000,14.950000,14.950000,151900
2017-11-30,14.950000,15.050000,14.500000,14.550000,14.550000,305300
2017-12-01,14.500000,14.800000,14.150000,14.750000,14.750000,177800
