Date,Open,High,Low,Close,Adj Close,Volume
2017-11-02,32.889999,33.189999,32.000000,32.189999,32.132504,1065400
2017-11-03,37.000000,38.880001,36.000000,36.410000,36.344967,3937800
2017-11-06,36.529999,37.959999,36.110001,36.470001,36.404858,879600
2017-11-07,36.520000,36.820000,35.490002,35.849998,35.785965,705100
2017-11-08,35.830002,37.900002,35.500000,37.290001,37.223396,1022100
2017-11-09,37.110001,38.029999,36.660000,37.810001,37.742466,589400
2017-11-10,37.759998,38.369999,37.509998,38.099998,38.031944,680400
2017-11-13,38.090000,39.200001,37.709999,38.950001,38.880428,579400
2017-11-14,39.360001,40.507999,38.650002,39.689999,39.619106,1111000
2017-11-15,39.570000,40.310001,38.910000,39.490002,39.419464,897400
2017-11-16,39.529999,39.980000,38.860001,38.959999,38.890411,356700
2017-11-17,38.750000,39.169998,37.750000,38.380001,38.311447,558700
2017-11-20,38.380001,39.220001,38.180000,39.189999,39.119999,301500
2017-11-21,39.349998,39.619999,38.990002,39.520000,39.449409,445100
2017-11-22,39.599998,39.910000,39.389999,39.529999,39.459393,229600
2017-11-24,39.590000,39.590000,39.080002,39.180000,39.110020,168500
2017-11-27,39.169998,39.220001,38.360001,38.790001,38.720715,205200
2017-11-28,38.799999,39.990002,38.799999,39.849998,39.778820,254800
2017-11-29,38.150002,39.669998,37.849998,39.209999,39.139965,578500
2017-11-30,39.349998,39.689999,39.090000,39.189999,39.119999,438500
2017-12-01,39.189999,39.380001,38.380001,38.740002,38.740002,480600
